,id,lon,lat,geometry
728,557395.0,-16.092930455304998,16.30312500391499,POINT (-16.092930455304998 16.30312500391499)
729,560351.0,-16.136680455235,16.30104167058499,POINT (-16.136680455235 16.30104167058499)
730,560363.0,-16.111680455274996,16.30104167058499,POINT (-16.111680455274996 16.30104167058499)
731,563328.0,-16.136680455235,16.29895833725499,POINT (-16.136680455235 16.29895833725499)
732,563347.0,-16.097097121964996,16.29895833725499,POINT (-16.097097121964996 16.29895833725499)
733,566225.0,-16.303347121634996,16.29687500392499,POINT (-16.303347121634996 16.29687500392499)
734,566324.0,-16.097097121964996,16.29687500392499,POINT (-16.097097121964996 16.29687500392499)
735,572273.0,-16.107513788614998,16.29270833726499,POINT (-16.107513788614998 16.29270833726499)
736,575250.0,-16.107513788614998,16.290625003934988,POINT (-16.107513788614998 16.290625003934988)
738,578200.0,-16.163763788524996,16.28854167060499,POINT (-16.163763788524996 16.28854167060499)
739,578201.0,-16.161680455194997,16.28854167060499,POINT (-16.161680455194997 16.28854167060499)
740,581179.0,-16.159597121864998,16.28645833727499,POINT (-16.159597121864998 16.28645833727499)
741,584136.0,-16.201263788464995,16.28437500394499,POINT (-16.201263788464995 16.28437500394499)
742,584153.0,-16.165847121855,16.28437500394499,POINT (-16.165847121855 16.28437500394499)
743,584154.0,-16.163763788524996,16.28437500394499,POINT (-16.163763788524996 16.28437500394499)
744,584168.0,-16.134597121904996,16.28437500394499,POINT (-16.134597121904996 16.28437500394499)
745,587110.0,-16.207513788454996,16.28229167061499,POINT (-16.207513788454996 16.28229167061499)
746,587124.0,-16.178347121834996,16.28229167061499,POINT (-16.178347121834996 16.28229167061499)
747,587126.0,-16.174180455174998,16.28229167061499,POINT (-16.174180455174998 16.28229167061499)
748,590089.0,-16.203347121794998,16.28020833728499,POINT (-16.203347121794998 16.28020833728499)
749,593073.0,-16.188763788484998,16.27812500395499,POINT (-16.188763788484998 16.27812500395499)
750,596037.0,-16.215847121774996,16.276041670624988,POINT (-16.215847121774996 16.276041670624988)
751,596061.0,-16.165847121855,16.276041670624988,POINT (-16.165847121855 16.276041670624988)
752,596064.0,-16.159597121864998,16.276041670624988,POINT (-16.159597121864998 16.276041670624988)
754,599015.0,-16.213763788444997,16.27395833729499,POINT (-16.213763788444997 16.27395833729499)
