"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
111,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",111,"Meouane","Arrondissment","Arrondissement",NA,NA
112,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",112,"Mequane","Arrondissment","Arrondissement",NA,NA
113,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",113,"Merina Dakhar","Arrondissment","Arrondissement",NA,NA
114,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",114,"Niakhene","Arrondissment","Arrondissement",NA,NA
115,201,"SEN","Senegal",13,"Thiès",42,"Tivaouane",115,"Pambal","Arrondissment","Arrondissement",NA,NA
116,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",116,"Kataba I","Arrondissment","Arrondissement",NA,NA
117,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",117,"Sindian","Arrondissment","Arrondissement",NA,NA
118,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",118,"Tendouck","Arrondissment","Arrondissement",NA,NA
119,201,"SEN","Senegal",14,"Ziguinchor",43,"Bignona",119,"Tenghory","Arrondissment","Arrondissement",NA,NA
120,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye",120,"Cabrousse","Arrondissment","Arrondissement",NA,NA
121,201,"SEN","Senegal",14,"Ziguinchor",44,"Oussouye",121,"Loudia Ouolof","Arrondissment","Arrondissement",NA,"<Null>"
122,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor",122,"Niaguis","Arrondissment","Arrondissement",NA,NA
123,201,"SEN","Senegal",14,"Ziguinchor",45,"Ziguinchor",123,"Nyassia","Arrondissment","Arrondissement",NA,NA
